,AlexNet_latency_speedup,ZFNet_latency_speedup,VGG8_latency_speedup,VGG16_latency_speedup,NewResNet_latency_speedup
0,1.0,1.0,1.0,1.0,1.0
1,1.6223551242038292,1.1601029646988805,1.8713223762402433,1.6106920370235474,1.8138600588891503
2,2.604288166517961,1.6176457502573522,2.8328237932608076,2.161929943514425,2.1621016454913367
3,2.8144642033055685,1.7500140232947143,2.9999840343142754,2.3058535776106757,2.2785420692108787
